Id,Level,Reading_On,Reading_Kun,Strokes
岸,8,['ガン'],"['きし', 'かどだ（つ）']",8
厈,-1,,,-1
起,8,['キ'],"['お（きる）', 'お（こす）', 'お（こる）', 'た（つ）']",10
期,8,"['キ', 'ゴ']","['き（める）', 'ちぎ（る）', 'とき']",12
其,1,['キ'],"['そ（の）', 'それ']",8
客,8,"['キャク', 'カク']",['まろうど'],9
各,7,['カク'],['おのおの'],6
急,8,['キュウ'],"['いそ（ぐ）', 'せ（く）']",9
刍,-1,,,-1
級,8,['キュウ'],"['くび', 'しな']",9
及,4,['キュウ'],"['およ（び）', 'およ（ぶ）', 'およ（ぼす）']",3
球,8,['キュウ'],['たま'],11
求,7,"['キュウ', 'グ']",['もと（める）'],7
究,8,"['キュウ', 'ク']","['きわ（める）', 'きわ（まる）']",7
去,8,"['キョ', 'コ']","['さ（る）', 'のぞ（く）', 'ゆ（く）']",5
橋,8,['キョウ'],['はし'],16
喬,1,['キョウ'],"['おご（る）', 'たか（い）']",12
業,8,"['ギョウ', 'ゴウ']",['わざ'],13
业,-1,,,-1
曲,8,['キョク'],"['ま（がる）', 'ま（げる）', 'かね', 'くせ', 'くま', 'まが']",6
局,8,['キョク'],['つぼね'],7
銀,8,['ギン'],['しろがね'],14
艮,1,"['コン', 'ゴン']",['うしとら'],6
苦,8,['ク'],"['くる（しい）', 'くる（しむ）', 'くる（しめる）', 'にが（い）', 'にが（る）', 'にがな', 'はなは（だ）']",8
区,8,"['ク', 'オウ']",[],4
具,8,['グ'],"['つぶさ（に）', 'つま', 'そな（える）', 'そな（わる）']",8
宮,8,"['キュウ', 'グウ', 'ク']","['みや', 'いえ']",10
呂,2,"['ロ', 'リョ']",[],7
君,8,['クン'],['きみ'],7
尹,1,['イン'],"['おさ', 'おさ（める）', 'ただ（す）']",4
匕,1,['ヒ'],['さじ'],2
軽,8,"['ケイ', 'キン']","['かる（い）', 'かろ（やか）']",12
圣,-1,,,-1
係,8,['ケイ'],"['かかり', 'かか（る）', 'かか（わる）', 'つな（ぐ）']",9
系,5,['ケイ'],"['すじ', 'つな（ぐ）']",7
血,8,"['ケツ', 'ケチ']",['ち'],6
皿,8,['ベイ'],['さら'],5
決,8,['ケツ'],"['き（まる）', 'き（める）']",7
夬,1,"['カイ', 'ケツ']","['き（める）', 'ゆがけ', 'わ（ける）']",4
県,8,['ケン'],['あがた'],9
研,8,"['ケン', 'ゲン']","['と（ぐ）', 'みが（く）']",9
湖,8,['コ'],['みずうみ'],12
胡,1,"['ウ', 'コ', 'ゴ']","['いずく（んぞ）', 'えびす', 'でたらめ', 'ながい（き）', 'なん（ぞ）', 'みだ（り）']",9
庫,8,"['コ', 'ク']",['くら'],10
幸,8,['コウ'],"['さいわ（い）', 'しあわ（せ）', 'さち', 'みゆき']",8
